"","Geneid","gene_name","M1_1","M1_2","M1_3","M2_1","M2_2","M2_3"
"19550","ENSG00000033011","ALG1",41,54,51,384,48,195
"19551","ENSG00000153446","C16orf89",1,2,0,2,0,0
"19552","ENSG00000260882","RP11-10K17.3",0,0,0,0,1,0
"19553","ENSG00000118894","FAM86A",6,17,19,118,8,51
"19554","ENSG00000267070","RP11-10K17.6",0,0,0,0,0,0
"19555","ENSG00000260431","RP11-382N13.6",0,0,0,0,0,1
"19556","ENSG00000261811","RP11-382N13.2",0,0,0,0,0,0
"19557","ENSG00000260411","RP11-420N3.2",0,0,0,0,0,0
"19558","ENSG00000260817","RP11-382N13.4",0,0,0,0,0,0
"19559","ENSG00000221809","AC074051.1",0,0,0,0,0,0
"19560","ENSG00000242278","RP11-382N13.1",0,0,0,0,0,2
"19561","ENSG00000267182","RP11-382N13.5",1,0,0,0,0,0
"19562","ENSG00000261007","RP11-382N13.3",0,0,0,0,0,1
"19563","ENSG00000260338","RP11-124K4.1",0,0,0,0,0,0
"19564","ENSG00000221257","AC012175.1",0,0,0,0,0,0
"19565","ENSG00000270440","RP11-19H6.1",0,0,0,0,0,0
"19566","ENSG00000078328","RBFOX1",0,0,0,0,0,0
"19567","ENSG00000257180","RP11-509E10.1",0,0,0,0,0,0
"19568","ENSG00000260835","RP11-468I15.1",0,0,0,0,0,0
"19569","ENSG00000259963","RP11-185J20.2",0,0,0,0,0,0
"19570","ENSG00000252080","RNU7-99P",0,0,0,0,0,0
"19571","ENSG00000200869","RNU6-457P",0,0,0,0,0,0
"19572","ENSG00000212189","RNU6-328P",0,0,0,0,0,0
"19573","ENSG00000240419","RP11-545E8.1",0,0,0,0,0,0
"19574","ENSG00000252405","snoMe28S-Am2634",0,0,0,0,0,0
"19575","ENSG00000261198","RP11-26O3.1",0,0,0,0,0,0
"19576","ENSG00000252138","SNORA40",0,0,0,0,0,0
"19577","ENSG00000260289","CTD-2535I10.1",0,0,0,0,0,0
"19578","ENSG00000222109","AC093515.1",0,0,0,0,0,0
"19579","ENSG00000260003","RP11-279O17.2",0,0,0,0,0,0
"19580","ENSG00000261319","RP11-279O17.1",0,0,0,0,0,0
"19581","ENSG00000264844","AC018767.1",0,0,0,0,0,0
"19582","ENSG00000260058","RP11-279O17.3",0,0,0,0,0,0
"19583","ENSG00000259819","RP11-568A19.1",0,0,0,0,0,0
"19584","ENSG00000260379","RP11-483K5.2",0,0,0,0,0,1
"19585","ENSG00000261066","RP11-483K5.3",0,0,0,0,0,0
"19586","ENSG00000232258","TMEM114",0,1,0,0,0,0
"19587","ENSG00000067365","METTL22",136,162,115,358,92,360
"19588","ENSG00000183044","ABAT",156,232,167,1390,170,1024
"19589","ENSG00000243954","RN7SL743P",0,0,0,0,0,1
"19590","ENSG00000238417","RNU7-63P",0,0,0,0,0,0
"19591","ENSG00000260764","RNU7-63P",0,0,0,0,0,0
"19592","ENSG00000184857","TMEM186",37,33,30,136,30,98
"19593","ENSG00000140650","PMM2",59,101,64,197,39,147
"19594","ENSG00000260350","RP11-152P23.2",0,2,0,0,0,0
"19595","ENSG00000260276","RP11-77H9.2",18,8,5,14,3,15
"19596","ENSG00000153048","CARHSP1",117,177,75,330,139,483
"19597","ENSG00000259939","RP11-77H9.5",0,0,0,0,0,0
"19598","ENSG00000261481","RP11-77H9.6",1,0,0,0,0,0
"19599","ENSG00000187555","USP7",1109,1769,1090,4239,1136,2922
"19600","ENSG00000260979","RP11-77H9.8",0,0,0,0,0,0
"19601","ENSG00000261392","RP11-473I1.6",0,0,0,0,0,2
"19602","ENSG00000182831","C16orf72",670,773,477,1369,387,1147
"19603","ENSG00000262944","RP11-473I1.9",234,523,222,594,215,530
"19604","ENSG00000260349","RP11-473I1.5",66,124,40,142,45,141
"19605","ENSG00000263244","RP11-473I1.10",777,2069,1039,2019,920,2525
"19606","ENSG00000220793","RPL21P119",1,1,1,2,0,2
"19607","ENSG00000264694","AC092122.1",0,0,0,0,0,0
"19608","ENSG00000266492","AC092122.2",0,0,0,0,0,0
"19609","ENSG00000261617","RP11-243A14.1",1,0,0,0,0,1
"19610","ENSG00000261397","RP11-243A14.2",0,0,0,0,0,0
"19611","ENSG00000261075","RP11-243A14.3",0,0,0,0,0,0
"19612","ENSG00000260071","RP11-418I22.2",0,0,0,0,0,0
"19613","ENSG00000200468","RNA5SP403",0,0,0,0,0,0
"19614","ENSG00000252927","RNA5SP404",0,0,0,0,0,0
"19615","ENSG00000260362","RP11-297M9.1",0,0,0,0,0,0
"19616","ENSG00000260432","RP11-297M9.2",0,0,0,0,0,0
"19617","ENSG00000183454","GRIN2A",0,0,0,0,0,0
"19618","ENSG00000261810","RP11-895K13.2",0,0,0,1,0,0
"19619","ENSG00000261647","IMPDH1P11",0,0,0,1,0,0
"19620","ENSG00000266439","RN7SL493P",0,0,0,0,0,0
"19621","ENSG00000166669","ATF7IP2",27,54,41,190,68,158
"19622","ENSG00000260756","RP11-609N14.1",0,0,0,0,0,0
"19623","ENSG00000264305","RN7SL99P",0,0,0,0,0,0
"19624","ENSG00000199482","RNU6-633P",0,0,0,0,0,0
"19625","ENSG00000260468","RP11-27M24.3",0,0,0,0,0,0
"19626","ENSG00000213853","EMP2",4,3,0,11,4,3
"19627","ENSG00000256013","RP11-27M24.1",0,0,0,0,0,0
"19628","ENSG00000260310","RP11-27M24.2",0,0,0,0,1,0
"19629","ENSG00000153060","TEKT5",0,1,2,2,0,5
"19630","ENSG00000263279","RP11-109M19.1",0,0,1,0,0,0
"19631","ENSG00000263241","RP11-109M19.4",0,0,0,0,1,1
"19632","ENSG00000262107","RP11-109M19.5",0,0,0,0,0,0
"19633","ENSG00000261904","RP11-109M19.3",0,0,0,0,0,0
"19634","ENSG00000262322","RP11-109M19.2",0,0,0,0,0,0
"19635","ENSG00000262259","CTD-2318B16.4",0,0,0,0,0,0
"19636","ENSG00000263196","CTD-2318B16.3",0,0,0,0,0,0
"19637","ENSG00000262158","CTD-2318B16.2",0,0,0,0,0,0
"19638","ENSG00000262381","CTD-2318B16.1",0,0,0,0,0,0
"19639","ENSG00000103274","NUBP1",135,198,129,419,115,311
"19640","ENSG00000166676","TVP23A",99,103,33,251,90,209
"19641","ENSG00000262488","RP11-876N24.1",3,1,0,7,0,7
"19642","ENSG00000262151","RP11-876N24.2",2,2,2,2,1,4
"19643","ENSG00000179583","CIITA",2754,5963,1875,14682,6378,10916
"19644","ENSG00000182108","DEXI",33,119,19,162,119,227
"19645","ENSG00000263013","RP11-876N24.5",9,35,5,137,25,26
"19646","ENSG00000262222","RP11-876N24.4",40,115,44,131,112,259
"19647","ENSG00000038532","CLEC16A",341,470,242,1503,312,692
